Mixture	Fetal Mesenchymal Stem Cells	CD14+ Monocytes	CD8+ Activated T Cells	Naive CD4+ T Cells	Naive CD8+ T Cells	Natural Killer T Cells	B Cells	Fetal GZMK+ Natural Killer	Fetal Memory CD4+ T Cells	Fetal Hofbauer Cells	Fetal Plasmacytoid Dendritic Cells	Fetal GZMB+ Natural Killer	Fetal Endothelial Cells	Fetal Syncytiotrophoblast	Fetal Fibroblasts	Cytotrophoblast	Fetal Nucleated Red Blood Cells	Maternal FCGR3A+ Monocytes	Maternal Plasma Cells	Fetal Extravillous Trophoblasts	P-value	Correlation	RMSE
SCP3412	0.12146619614166057	0.02663099866138810	0.00000000000000000	0.00000000000000000	0.16910847620901118	0.06263710560460571	0.02298669592226474	0.00000000000000000	0.08232235858508803	0.04610792488880588	0.00000000000000000	0.00000000000000000	0.09881049715902064	0.05411872018115183	0.08827182230935976	0.18323351209206012	0.00115632260039515	0.00000000000000000	0.00000000000000000	0.04314936964518827	0.00000000000000000	0.97225985704745288	0.80673057011002547
SCP3492	0.08639866037237014	0.00919657850697223	0.00000000000000000	0.02207163795361037	0.00000000000000000	0.12759142481424510	0.04366307661404207	0.00000000000000000	0.01037576995518452	0.03230899351210165	0.03873449079519063	0.00000000000000000	0.06538680484338665	0.07670302288052162	0.02094443379686159	0.30737781467398573	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.15924729128152756	0.00000000000000000	0.87065168015069960	0.76003504399157584
SCP3929	0.13650437096259846	0.05019818873645000	0.00000000000000000	0.00000000000000000	0.08892573647571682	0.03655603901078703	0.08484949437587561	0.05191427975158715	0.04390033839436309	0.04281827515615146	0.00383322413697752	0.00000000000000000	0.07081716684207580	0.07437313102311742	0.00785614672077862	0.20526642308900778	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.10218718532451330	0.00000000000000000	0.98300829491961017	0.72994053245848689
SCP3954	0.15385328294489597	0.04353384804522441	0.00000000000000000	0.00000000000000000	0.14346665695770686	0.05450109332521646	0.05324063633888145	0.00068758501567074	0.05519525411133015	0.10011838999903462	0.00036285566332118	0.00000000000000000	0.08779077379594472	0.04771230604407788	0.01067524674691835	0.17679740437595146	0.00604665716587704	0.00000000000000000	0.00000000000000000	0.06601800946994865	0.00000000000000000	0.99102480571197138	0.81646778004215015
SCP3962	0.10738269890696057	0.04239585627732023	0.00000000000000000	0.00000000000000000	0.12871460254691527	0.06492844476895356	0.00224155973665522	0.00000000000000000	0.05929123864751500	0.05881771986020844	0.00000000000000000	0.00000000000000000	0.14711643391060569	0.01786176319006428	0.05639431199508902	0.23699392090593047	0.00460556482205094	0.02417193152958210	0.00000000000000000	0.04908395290214922	0.00000000000000000	0.93435023792261185	0.91808921625835416
SCP4010	0.09266999602968123	0.03708496445199210	0.00000000000000000	0.00000000000000000	0.12120832720807523	0.04932999086360777	0.02557741863062311	0.00000000000000000	0.07128247861867519	0.05224616674649338	0.00000000000000000	0.00000000000000000	0.06270486171534573	0.03844250453511316	0.07609280585234897	0.11782471643070376	0.00748468621055182	0.00739534187652198	0.00000000000000000	0.24065574083026636	0.00000000000000000	0.98372375068144924	0.82250601741796747
SCP4059	0.07109894776706377	0.00981716015436630	0.00000000000000000	0.00000000000000000	0.23436787586044866	0.06580769163994082	0.03081741503591255	0.00000000000000000	0.06015629601744290	0.04409749398675358	0.00000000000000000	0.00000000000000000	0.04009429723542182	0.12232786313270408	0.02732039597029248	0.17374265156045854	0.00403157820876680	0.00000000000000000	0.00000000000000000	0.11632033343042762	0.00000000000000000	0.98862299220704053	0.57124079725002419
SCP4157	0.19314999830602314	0.07316272545265839	0.00000000000000000	0.00000000000000000	0.08321043636480648	0.02404275353857413	0.04227055119025107	0.00000000000000000	0.10235016459381543	0.11384290436485776	0.00000000000000000	0.03241442420080615	0.02597447103788925	0.01645560567647838	0.05951483498597210	0.01303673850771105	0.00000000000000000	0.01974270261139608	0.00000000000000000	0.20083168916876051	0.00000000000000000	0.91689779153351925	0.90577696223493165
SCP4196	0.09963825633429350	0.01696689378011632	0.00000000000000000	0.00000000000000000	0.19344717658364435	0.06471045121042794	0.01200705785768429	0.00000000000000000	0.06639837030881313	0.06954562964998175	0.00091542044147748	0.00000000000000000	0.06452001560296132	0.06479951852177658	0.03713750171394677	0.27890628408508911	0.00090659242390471	0.00000000000000000	0.00000000000000000	0.03010083148588273	0.00000000000000000	0.97898512642213043	0.77119061262116406
SCP4319	0.08110282012780040	0.01370669895810370	0.00776862373866086	0.00000000000000000	0.21225227516655482	0.02442500931901073	0.02400949750789194	0.00804556884814365	0.07905102350867825	0.08248798030065434	0.00000000000000000	0.00000000000000000	0.02638306510296125	0.14538807183560754	0.01206107534155151	0.21560578922461909	0.00058014962141886	0.00000000000000000	0.00000000000000000	0.06713235139834293	0.00000000000000000	0.98877944392376849	0.50469335853943353
