## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/STP_0596_T_S12_GRCh38_Aligned.sortedByCoord.out.bam --OUTPUT /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/deduplicated_data/STP0596_marked_duplicates.bam --METRICS_FILE /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/deduplicated_data/STP0596_mark_dup_metrics.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 17 17:32:21 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
library	0	17277455	12247238	0	0	8524165	740	0.493369	11087142

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
128.0	0	96	0	96
129.0	0	99	0	99
130.0	0	83	0	84
131.0	0	93	0	92
132.0	0	86	0	86
133.0	0	88	0	89
134.0	0	92	0	92
135.0	0	89	0	90
136.0	0	98	0	96
137.0	0	78	0	79
138.0	0	77	0	76
139.0	0	88	0	88
140.0	0	67	0	67
141.0	0	66	0	66
142.0	0	75	0	75
143.0	0	58	0	59
144.0	0	86	0	85
145.0	0	77	0	78
146.0	0	81	0	80
147.0	0	62	0	62
148.0	0	78	0	79
149.0	0	82	0	81
150.0	0	61	0	61
151.0	0	87	0	87
152.0	0	56	0	57
153.0	0	45	0	45
154.0	0	69	0	70
155.0	0	73	0	71
156.0	0	71	0	71
157.0	0	71	0	72
158.0	0	62	0	61
159.0	0	62	0	63
160.0	0	66	0	65
161.0	0	64	0	64
162.0	0	57	0	57
163.0	0	53	0	53
164.0	0	66	0	66
165.0	0	66	0	67
166.0	0	69	0	68
167.0	0	48	0	48
168.0	0	72	0	72
169.0	0	53	0	53
170.0	0	49	0	49
171.0	0	45	0	45
172.0	0	58	0	58
173.0	0	48	0	48
174.0	0	53	0	53
175.0	0	52	0	52
176.0	0	43	0	43
177.0	0	50	0	50
178.0	0	51	0	51
179.0	0	42	0	42
180.0	0	56	0	58
181.0	0	60	0	58
182.0	0	47	0	48
183.0	0	46	0	45
184.0	0	38	0	38
185.0	0	46	0	47
186.0	0	44	0	43
187.0	0	49	0	49
188.0	0	39	0	40
189.0	0	58	0	57
190.0	0	44	0	44
191.0	0	47	0	47
192.0	0	42	0	42
193.0	0	40	0	40
194.0	0	47	0	48
195.0	0	42	0	41
196.0	0	40	0	40
197.0	0	49	0	49
198.0	0	34	0	37
199.0	0	43	0	40
200.0	0	37	0	38
201.0	0	30	0	30
202.0	0	42	0	42
203.0	0	31	0	30
204.0	0	42	0	42
205.0	0	32	0	32
206.0	0	33	0	34
207.0	0	35	0	35
208.0	0	35	0	35
209.0	0	26	0	25
210.0	0	37	0	37
211.0	0	34	0	34
212.0	0	33	0	34
213.0	0	41	0	40
214.0	0	33	0	34
215.0	0	35	0	34
216.0	0	29	0	30
217.0	0	43	0	42
218.0	0	26	0	26
219.0	0	32	0	32
220.0	0	34	0	34
221.0	0	35	0	35
222.0	0	29	0	29
223.0	0	33	0	33
224.0	0	32	0	33
225.0	0	37	0	37
226.0	0	38	0	37
227.0	0	33	0	35
228.0	0	34	0	34
229.0	0	32	0	30
230.0	0	36	0	37
231.0	0	31	0	30
232.0	0	29	0	29
233.0	0	31	0	31
234.0	0	34	0	34
235.0	0	28	0	28
236.0	0	27	0	27
237.0	0	30	0	30
238.0	0	22	0	22
239.0	0	35	0	35
240.0	0	26	0	26
241.0	0	25	0	25
242.0	0	35	0	35
243.0	0	28	0	29
244.0	0	29	0	29
245.0	0	22	0	22
246.0	0	25	0	24
247.0	0	25	0	25
248.0	0	31	0	31
249.0	0	21	0	21
250.0	0	34	0	34
251.0	0	22	0	23
252.0	0	26	0	26
253.0	0	34	0	33
254.0	0	24	0	26
255.0	0	28	0	26
256.0	0	23	0	23
257.0	0	27	0	28
258.0	0	21	0	21
259.0	0	22	0	21
260.0	0	25	0	25
261.0	0	15	0	15
262.0	0	24	0	24
263.0	0	26	0	26
264.0	0	14	0	14
265.0	0	30	0	30
266.0	0	18	0	18
267.0	0	20	0	22
268.0	0	33	0	31
269.0	0	23	0	23
270.0	0	26	0	26
271.0	0	24	0	24
272.0	0	16	0	16
273.0	0	22	0	23
274.0	0	21	0	20
275.0	0	14	0	14
276.0	0	22	0	22
277.0	0	17	0	17
278.0	0	15	0	16
279.0	0	20	0	19
280.0	0	19	0	19
281.0	0	25	0	25
282.0	0	18	0	18
283.0	0	14	0	14
284.0	0	19	0	19
285.0	0	19	0	19
286.0	0	15	0	19
287.0	0	25	0	21
288.0	0	21	0	21
289.0	0	13	0	13
290.0	0	17	0	18
291.0	0	20	0	20
292.0	0	21	0	20
293.0	0	17	0	17
294.0	0	20	0	20
295.0	0	17	0	17
296.0	0	21	0	21
297.0	0	24	0	24
298.0	0	20	0	20
299.0	0	20	0	20
300.0	0	15	0	15
301.0	0	17	0	17
302.0	0	18	0	18
303.0	0	13	0	13
304.0	0	25	0	25
305.0	0	14	0	14
306.0	0	20	0	20
307.0	0	10	0	10
308.0	0	13	0	14
309.0	0	11	0	10
310.0	0	14	0	14
311.0	0	19	0	21
312.0	0	21	0	20
313.0	0	18	0	17
314.0	0	9	0	10
315.0	0	15	0	14
316.0	0	16	0	16
317.0	0	18	0	18
