## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/STP_0148_T_S10_GRCh38_Aligned.sortedByCoord.out.bam --OUTPUT /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/deduplicated_data/STP0148_marked_duplicates.bam --METRICS_FILE /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/deduplicated_data/STP0148_mark_dup_metrics.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Apr 16 12:59:20 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
library	0	46346222	38653186	0	0	26759698	10318	0.577387	22428008

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000067	16730544	0	16730785
2.0	1.12671	1677543	1788	1677356
3.0	1.142748	416124	258	416084
4.0	1.144779	186405	123	186397
5.0	1.145036	107980	79	107980
6.0	1.145069	70848	52	70847
7.0	1.145073	50790	23	50791
8.0	1.145073	38008	15	38003
9.0	1.145073	29644	13	29649
10.0	1.145073	24016	22	24013
11.0	1.145073	19874	12	19873
12.0	1.145073	16597	19	16596
13.0	1.145073	14073	13	14073
14.0	1.145073	12304	15	12305
15.0	1.145073	10815	9	10816
16.0	1.145073	9484	7	9484
17.0	1.145073	8489	3	8488
18.0	1.145073	7514	4	7517
19.0	1.145073	6687	2	6683
20.0	1.145073	6248	3	6248
21.0	1.145073	5638	4	5640
22.0	1.145073	5326	4	5326
23.0	1.145073	4791	10	4790
24.0	1.145073	4439	1	4441
25.0	1.145073	4052	2	4049
26.0	1.145073	3752	1	3753
27.0	1.145073	3532	2	3533
28.0	1.145073	3386	2	3383
29.0	1.145073	3108	2	3108
30.0	1.145073	2933	0	2936
31.0	1.145073	2813	1	2812
32.0	1.145073	2683	0	2682
33.0	1.145073	2468	2	2469
34.0	1.145073	2425	1	2425
35.0	1.145073	2164	1	2165
36.0	1.145073	2140	2	2137
37.0	1.145073	2026	0	2027
38.0	1.145073	1991	0	1992
39.0	1.145073	1807	1	1806
40.0	1.145073	1752	1	1751
41.0	1.145073	1724	2	1726
42.0	1.145073	1613	0	1612
43.0	1.145073	1520	2	1520
44.0	1.145073	1473	0	1475
45.0	1.145073	1391	0	1391
46.0	1.145073	1286	0	1284
47.0	1.145073	1279	1	1278
48.0	1.145073	1209	1	1210
49.0	1.145073	1221	0	1221
50.0	1.145073	1110	1	1111
51.0	1.145073	1106	1	1105
52.0	1.145073	1077	0	1077
53.0	1.145073	1038	1	1038
54.0	1.145073	1018	1	1019
55.0	1.145073	982	0	981
56.0	1.145073	970	0	969
57.0	1.145073	968	0	968
58.0	1.145073	912	2	912
59.0	1.145073	798	0	799
60.0	1.145073	877	1	878
61.0	1.145073	832	0	830
62.0	1.145073	845	0	845
63.0	1.145073	766	0	766
64.0	1.145073	749	3	749
65.0	1.145073	727	1	730
66.0	1.145073	726	0	724
67.0	1.145073	664	1	663
68.0	1.145073	664	0	667
69.0	1.145073	618	1	615
70.0	1.145073	633	2	633
71.0	1.145073	624	0	624
72.0	1.145073	585	0	585
73.0	1.145073	606	2	607
74.0	1.145073	544	0	545
75.0	1.145073	548	1	548
76.0	1.145073	522	0	521
77.0	1.145073	556	0	556
78.0	1.145073	521	0	522
79.0	1.145073	525	0	526
