## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/SCP_4733_T_S96_GRCh38_Aligned.sortedByCoord.out.bam --OUTPUT /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/deduplicated_data/SCP4733_marked_duplicates.bam --METRICS_FILE /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/deduplicated_data/SCP4733_mark_dup_metrics.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Apr 16 15:22:46 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
library	0	19315846	35204302	0	0	8982877	1092	0.465052	13647345

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000026	9037719	0	9037877
2.0	1.242871	774637	635	774500
3.0	1.301844	177165	65	177154
4.0	1.316164	81244	20	81238
5.0	1.319642	48167	7	48166
6.0	1.320487	32610	5	32609
7.0	1.320692	23421	5	23422
8.0	1.320741	17682	2	17680
9.0	1.320753	14251	2	14252
10.0	1.320756	11408	3	11408
11.0	1.320757	9458	1	9458
12.0	1.320757	8109	1	8108
13.0	1.320757	6816	0	6816
14.0	1.320757	5775	0	5776
15.0	1.320757	5146	0	5144
16.0	1.320757	4686	0	4688
17.0	1.320757	4045	0	4045
18.0	1.320757	3617	0	3615
19.0	1.320757	3335	0	3336
20.0	1.320757	2872	0	2872
21.0	1.320757	2754	1	2754
22.0	1.320757	2387	0	2387
23.0	1.320757	2416	0	2415
24.0	1.320757	2054	0	2055
25.0	1.320757	1997	0	1997
26.0	1.320757	1831	0	1830
27.0	1.320757	1635	0	1636
28.0	1.320757	1517	0	1516
29.0	1.320757	1453	1	1453
30.0	1.320757	1325	0	1328
31.0	1.320757	1306	0	1303
32.0	1.320757	1179	0	1181
33.0	1.320757	1139	0	1137
34.0	1.320757	1082	0	1083
35.0	1.320757	1045	0	1044
36.0	1.320757	963	0	963
37.0	1.320757	917	0	918
38.0	1.320757	889	0	889
39.0	1.320757	863	0	862
40.0	1.320757	769	0	770
41.0	1.320757	742	0	743
42.0	1.320757	701	0	699
43.0	1.320757	676	0	677
44.0	1.320757	673	0	672
45.0	1.320757	644	0	645
46.0	1.320757	581	0	581
47.0	1.320757	614	0	613
48.0	1.320757	531	0	532
49.0	1.320757	510	0	510
50.0	1.320757	495	0	496
51.0	1.320757	495	0	493
52.0	1.320757	494	0	494
53.0	1.320757	487	0	487
54.0	1.320757	465	0	465
55.0	1.320757	456	0	456
56.0	1.320757	405	0	405
57.0	1.320757	388	0	388
58.0	1.320757	346	0	346
59.0	1.320757	392	1	392
60.0	1.320757	334	0	335
61.0	1.320757	326	0	330
62.0	1.320757	358	0	354
63.0	1.320757	327	0	327
64.0	1.320757	327	0	326
65.0	1.320757	281	0	282
66.0	1.320757	293	0	293
67.0	1.320757	289	0	289
68.0	1.320757	304	0	303
69.0	1.320757	264	0	264
70.0	1.320757	251	0	251
71.0	1.320757	261	0	261
72.0	1.320757	262	0	262
73.0	1.320757	290	0	290
74.0	1.320757	266	0	266
75.0	1.320757	222	0	222
76.0	1.320757	203	0	205
77.0	1.320757	230	0	228
78.0	1.320757	247	0	247
79.0	1.320757	234	0	234
80.0	1.320757	213	0	213
81.0	1.320757	213	0	216
82.0	1.320757	199	0	196
