## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/STP_0932_T_S39_GRCh38_Aligned.sortedByCoord.out.bam --OUTPUT /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/deduplicated_data/STP0932_marked_duplicates.bam --METRICS_FILE /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/deduplicated_data/STP0932_mark_dup_metrics.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Apr 16 15:01:39 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
library	0	23028943	68654406	0	0	11830079	1146	0.513705	13800206

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
126.0	0	123	0	123
127.0	0	113	0	114
128.0	0	117	0	116
129.0	0	126	0	126
130.0	0	107	0	107
131.0	0	129	0	129
132.0	0	126	0	126
133.0	0	121	0	122
134.0	0	94	0	94
135.0	0	125	0	124
136.0	0	100	0	100
137.0	0	103	0	103
138.0	0	125	0	126
139.0	0	105	0	105
140.0	0	103	0	103
141.0	0	117	0	116
142.0	0	100	0	101
143.0	0	119	0	118
144.0	0	120	0	121
145.0	0	100	0	99
146.0	0	106	0	106
147.0	0	108	0	108
148.0	0	94	0	95
149.0	0	98	0	98
150.0	0	89	0	88
151.0	0	90	0	91
152.0	0	71	0	72
153.0	0	103	0	102
154.0	0	85	0	85
155.0	0	80	0	79
156.0	0	81	0	81
157.0	0	74	0	75
158.0	0	71	0	70
159.0	0	75	0	76
160.0	0	69	0	68
161.0	0	81	0	81
162.0	0	74	0	74
163.0	0	82	0	82
164.0	0	73	0	73
165.0	0	76	0	76
166.0	0	79	0	79
167.0	0	76	0	76
168.0	0	71	0	71
169.0	0	56	0	56
170.0	0	59	0	60
171.0	0	67	0	67
172.0	0	61	0	60
173.0	0	63	0	63
174.0	0	77	0	78
175.0	0	65	0	64
176.0	0	82	0	83
177.0	0	64	0	63
178.0	0	59	0	61
179.0	0	53	0	51
180.0	0	60	0	60
181.0	0	49	0	49
182.0	0	52	0	52
183.0	0	56	0	58
184.0	0	57	0	55
185.0	0	55	0	56
186.0	0	57	0	56
187.0	0	69	0	70
188.0	0	42	0	41
189.0	0	54	0	54
190.0	0	74	0	74
191.0	0	53	0	53
192.0	0	69	0	70
193.0	0	49	0	49
194.0	0	50	0	49
195.0	0	51	0	51
196.0	0	44	0	44
197.0	0	49	0	51
198.0	0	62	0	62
199.0	0	43	0	43
200.0	0	51	0	50
201.0	0	43	0	43
202.0	0	51	0	50
203.0	0	39	0	41
204.0	0	61	0	61
205.0	0	41	0	39
206.0	0	40	0	40
207.0	0	53	0	54
208.0	0	57	0	56
209.0	0	38	0	38
210.0	0	45	0	45
211.0	0	56	0	57
212.0	0	54	0	53
213.0	0	38	0	38
214.0	0	38	0	38
215.0	0	37	0	38
216.0	0	41	0	40
217.0	0	44	0	45
218.0	0	39	0	38
219.0	0	53	0	54
220.0	0	36	0	35
221.0	0	33	0	35
222.0	0	47	0	46
223.0	0	41	0	40
224.0	0	41	0	41
225.0	0	36	0	36
226.0	0	39	0	39
227.0	0	46	0	46
228.0	0	35	0	36
229.0	0	41	0	40
230.0	0	37	0	38
231.0	0	49	0	48
232.0	0	35	0	35
233.0	0	46	0	46
234.0	0	32	0	32
235.0	0	36	0	36
236.0	0	27	0	29
237.0	0	32	0	30
238.0	0	36	0	38
239.0	0	27	0	26
240.0	0	24	0	23
241.0	0	32	0	32
242.0	0	39	0	40
243.0	0	31	0	30
244.0	0	29	0	31
245.0	0	25	0	25
246.0	0	27	0	25
247.0	0	34	0	36
248.0	0	23	0	21
249.0	0	25	0	25
250.0	0	20	0	20
251.0	0	27	0	27
252.0	0	31	0	31
253.0	0	31	0	31
254.0	0	26	0	26
255.0	0	22	0	22
256.0	0	26	0	26
257.0	0	32	0	32
258.0	0	24	0	24
259.0	0	28	0	28
260.0	0	22	0	22
261.0	0	22	0	22
262.0	0	26	0	26
263.0	0	26	0	26
264.0	0	23	0	24
265.0	0	28	0	28
266.0	0	30	0	30
267.0	0	25	0	24
268.0	0	32	0	32
269.0	0	26	0	27
270.0	0	31	0	30
271.0	0	33	0	33
272.0	0	24	0	24
273.0	0	20	0	20
274.0	0	22	0	22
275.0	0	24	0	24
276.0	0	20	0	21
277.0	0	27	0	27
278.0	0	40	0	39
279.0	0	31	0	32
280.0	0	20	0	19
281.0	0	34	0	34
282.0	0	17	0	18
283.0	0	25	0	25
284.0	0	24	0	24
285.0	0	23	0	22
286.0	0	24	0	24
287.0	0	22	0	23
288.0	0	24	0	23
289.0	0	26	0	26
290.0	0	16	0	16
291.0	0	21	0	21
292.0	0	19	0	19
293.0	0	16	0	17
294.0	0	25	0	25
295.0	0	20	0	19
296.0	0	19	0	21
297.0	0	21	0	20
298.0	0	19	0	19
299.0	0	10	0	9
300.0	0	26	0	26
301.0	0	18	0	20
302.0	0	18	0	16
303.0	0	23	0	23
304.0	0	10	0	10
305.0	0	33	0	34
306.0	0	15	0	14
307.0	0	18	0	18
308.0	0	17	0	17
309.0	0	22	0	22
310.0	0	15	0	15
311.0	0	18	0	18
312.0	0	17	0	17
313.0	0	16	0	16
314.0	0	23	0	23
315.0	0	19	0	20
316.0	0	14	0	13
317.0	0	15	0	15
318.0	0	26	0	26
319.0	0	11	0	11
320.0	0	14	0	14
321.0	0	21	0	22
322.0	0	19	0	18
323.0	0	19	0	19
324.0	0	14	0	14
325.0	0	22	0	22
326.0	0	13	0	14
327.0	0	15	0	14
328.0	0	11	0	11
329.0	0	14	0	14
330.0	0	12	0	13
331.0	0	9	0	8
332.0	0	12	0	12
333.0	0	16	0	16
334.0	0	18	0	19
335.0	0	14	0	13
336.0	0	15	0	15
337.0	0	22	0	23
338.0	0	20	0	19
339.0	0	12	0	13
340.0	0	19	0	18
341.0	0	12	0	12
342.0	0	18	0	18
343.0	0	15	0	15
344.0	0	16	0	16
345.0	0	10	0	10
346.0	0	6	0	6
347.0	0	19	0	19
348.0	0	13	0	13
349.0	0	17	0	17
350.0	0	18	0	18
351.0	0	13	0	13
352.0	0	13	0	13
353.0	0	12	0	12
354.0	0	11	0	14
355.0	0	17	0	15
356.0	0	17	0	16
357.0	0	15	0	16
358.0	0	16	0	15
359.0	0	7	0	7
360.0	0	16	0	16
361.0	0	17	0	17
362.0	0	18	0	18
363.0	0	13	0	14
364.0	0	8	0	7
365.0	0	16	0	17
366.0	0	11	0	10
367.0	0	13	0	13
368.0	0	13	0	13
369.0	0	8	0	8
370.0	0	8	0	8
371.0	0	7	0	8
372.0	0	14	0	13
373.0	0	11	0	11
374.0	0	14	0	14
375.0	0	13	0	13
376.0	0	9	0	9
377.0	0	9	0	9
378.0	0	6	0	6
379.0	0	12	0	13
380.0	0	13	0	12
381.0	0	13	0	13
382.0	0	10	0	10
383.0	0	9	0	9
384.0	0	10	0	10
385.0	0	9	0	10
386.0	0	9	0	9
387.0	0	12	0	11
388.0	0	11	0	11
389.0	0	8	0	8
390.0	0	8	0	8
391.0	0	13	0	13
392.0	0	9	0	9
393.0	0	11	0	11
394.0	0	7	0	7
395.0	0	16	0	18
396.0	0	8	0	6
397.0	0	9	0	9
398.0	0	9	0	10
399.0	0	9	0	8
400.0	0	6	0	6
401.0	0	11	0	11
402.0	0	8	0	9
403.0	0	12	0	11
404.0	0	8	0	8
405.0	0	15	0	15
406.0	0	8	0	8
407.0	0	5	0	6
408.0	0	16	0	15
409.0	0	8	0	8
410.0	0	10	0	10
411.0	0	5	0	6
412.0	0	13	0	12
413.0	0	12	0	12
414.0	0	7	0	8
415.0	0	11	0	10
416.0	0	7	0	7
417.0	0	6	0	7
418.0	0	9	0	9
419.0	0	11	0	10
420.0	0	16	0	16
421.0	0	11	0	11
422.0	0	7	0	7
423.0	0	6	0	7
424.0	0	8	0	8
425.0	0	8	0	7
426.0	0	10	0	10
427.0	0	7	0	8
428.0	0	13	0	12
429.0	0	9	0	9
430.0	0	10	0	10
431.0	0	8	0	8
432.0	0	12	0	12
433.0	0	11	0	11
434.0	0	5	0	6
435.0	0	13	0	12
436.0	0	11	0	12
437.0	0	11	0	11
