## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/STP_1206_T_S85_GRCh38_Aligned.sortedByCoord.out.bam --OUTPUT /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/deduplicated_data/STP1206_marked_duplicates.bam --METRICS_FILE /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/deduplicated_data/STP1206_mark_dup_metrics.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Apr 16 14:19:19 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
library	0	23410731	76116908	0	0	13492531	1146	0.57634	11368294

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000015	8661066	0	8661194
2.0	1.12756	621506	732	621392
3.0	1.143827	171604	64	171596
4.0	1.145902	88971	31	88969
5.0	1.146167	56448	10	56447
6.0	1.1462	39603	1	39604
7.0	1.146205	30074	7	30075
8.0	1.146205	23600	3	23595
9.0	1.146205	19126	2	19128
10.0	1.146205	16003	2	16003
11.0	1.146205	13417	0	13415
12.0	1.146205	11410	0	11411
13.0	1.146205	10194	1	10194
14.0	1.146205	8876	0	8877
15.0	1.146205	8075	0	8073
16.0	1.146205	7154	0	7156
17.0	1.146205	6463	0	6462
18.0	1.146205	5809	0	5810
19.0	1.146205	5176	0	5174
20.0	1.146205	4840	1	4841
21.0	1.146205	4422	1	4424
22.0	1.146205	3999	0	3996
23.0	1.146205	3801	0	3805
24.0	1.146205	3465	0	3461
25.0	1.146205	3295	0	3296
26.0	1.146205	3028	0	3029
27.0	1.146205	2923	0	2921
28.0	1.146205	2648	0	2650
29.0	1.146205	2517	0	2516
30.0	1.146205	2359	0	2358
31.0	1.146205	2254	0	2254
32.0	1.146205	2114	0	2116
33.0	1.146205	2000	0	1998
34.0	1.146205	1879	0	1881
35.0	1.146205	1855	0	1854
36.0	1.146205	1679	0	1679
37.0	1.146205	1652	0	1651
38.0	1.146205	1552	0	1553
39.0	1.146205	1521	0	1520
40.0	1.146205	1432	0	1433
41.0	1.146205	1371	0	1372
42.0	1.146205	1286	0	1284
43.0	1.146205	1227	0	1228
44.0	1.146205	1158	0	1158
45.0	1.146205	1118	0	1117
46.0	1.146205	1113	0	1113
47.0	1.146205	1020	0	1023
48.0	1.146205	1017	0	1014
49.0	1.146205	1038	0	1038
50.0	1.146205	946	0	946
51.0	1.146205	899	0	900
52.0	1.146205	848	0	849
53.0	1.146205	856	0	854
54.0	1.146205	792	0	794
55.0	1.146205	813	0	812
56.0	1.146205	760	0	760
57.0	1.146205	776	0	775
58.0	1.146205	766	0	767
59.0	1.146205	694	0	694
60.0	1.146205	714	0	715
61.0	1.146205	666	0	666
62.0	1.146205	635	0	634
63.0	1.146205	640	0	640
64.0	1.146205	633	0	633
65.0	1.146205	640	0	639
66.0	1.146205	583	0	584
67.0	1.146205	530	0	529
68.0	1.146205	554	0	554
69.0	1.146205	519	0	519
70.0	1.146205	516	0	517
71.0	1.146205	469	0	470
72.0	1.146205	486	0	485
73.0	1.146205	437	0	436
74.0	1.146205	475	0	475
75.0	1.146205	477	0	477
76.0	1.146205	442	0	442
77.0	1.146205	451	0	452
78.0	1.146205	400	0	399
79.0	1.146205	399	0	399
80.0	1.146205	351	0	351
