Geneid	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/SCP3954_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/SCP4733_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0148_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0596_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0932_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP1206_marked_duplicates.bam
ENSG00000215014.5	4	3	7	5	5	2
ENSG00000274481.1	0	0	0	0	0	0
ENSG00000228594.3	18	2	37	10	4	7
ENSG00000272106.1	61	21	44	10	25	22
ENSG00000197530.12	288	85	202	121	133	85
ENSG00000189409.13	6	0	9	0	0	1
ENSG00000248333.8	192	68	165	95	100	64
ENSG00000272004.1	0	0	0	0	0	0
ENSG00000189339.11	587	104	568	243	175	244
ENSG00000269737.2	22	12	5	5	6	8
ENSG00000215914.4	0	0	0	0	0	0
ENSG00000008128.22	80	31	27	37	13	14
ENSG00000268575.1	99	22	18	11	19	29
ENSG00000227775.3	5	2	0	0	3	1
ENSG00000215790.7	165	98	128	50	89	55
ENSG00000008130.15	844	217	1007	306	420	381
ENSG00000078369.17	2249	754	2508	1563	1107	1009
ENSG00000231050.1	3	0	0	0	1	1
ENSG00000169885.9	0	0	0	2	0	0
ENSG00000178821.12	1	2	8	1	1	1
ENSG00000142609.18	7	1	5	4	4	1
ENSG00000233542.1	0	0	0	0	0	0
ENSG00000187730.8	1	0	3	0	0	1
ENSG00000226969.1	0	0	1	0	0	0
ENSG00000067606.16	2858	1496	6144	1042	1689	1972
ENSG00000271806.1	387	61	43	48	37	62
ENSG00000182873.5	224	25	25	6	53	31
ENSG00000162585.16	170	51	165	64	68	66
ENSG00000234396.3	0	0	0	0	0	0
ENSG00000157933.9	855	242	414	401	514	291
ENSG00000116151.13	48	16	45	23	26	20
ENSG00000272161.1	0	0	0	0	0	0
ENSG00000269896.2	4	2	2	3	2	0
ENSG00000272420.1	1	1	0	0	0	0
ENSG00000157916.19	976	407	2535	475	463	609
ENSG00000157911.10	114	49	354	46	72	77
ENSG00000149527.17	2	1	3	4	0	1
ENSG00000224387.1	0	0	0	0	0	0
ENSG00000229393.1	0	0	0	0	0	0
ENSG00000157881.13	186	53	182	111	110	81
ENSG00000197921.5	1	0	2	0	1	1
ENSG00000272449.2	0	0	0	0	0	0
ENSG00000238164.6	1	0	0	0	1	0
ENSG00000157873.17	89	6	41	89	23	34
ENSG00000225931.3	0	0	0	0	0	0
ENSG00000228037.1	1	0	0	0	0	0
ENSG00000157870.15	50	4	22	19	9	13
ENSG00000142606.15	3	0	2	2	0	1
ENSG00000237058.1	0	0	0	0	0	0
ENSG00000215912.12	0	0	0	0	0	0
ENSG00000285945.1	0	0	0	0	0	0
ENSG00000283259.1	0	0	0	0	0	0
ENSG00000233234.1	0	0	0	0	0	0
ENSG00000231630.1	0	0	0	0	0	0
ENSG00000284745.1	0	0	0	0	0	0
ENSG00000169717.6	0	0	0	0	0	0
ENSG00000177133.10	0	3	0	1	2	3
ENSG00000142611.16	5	4	0	2	8	2
ENSG00000283572.1	0	0	0	0	0	0
ENSG00000226286.1	0	0	0	0	0	0
ENSG00000279839.1	1	0	0	0	1	0
ENSG00000272235.1	0	1	0	0	0	0
ENSG00000130762.14	329	44	106	87	165	62
ENSG00000272088.1	2	0	2	0	2	0
ENSG00000162591.15	35	4	28	17	8	6
ENSG00000207776.1	0	0	0	0	0	0
ENSG00000238260.1	0	0	0	0	0	0
ENSG00000158109.14	263	104	309	135	220	114
ENSG00000116213.15	155	35	130	66	86	46
ENSG00000078900.14	7	1	3	5	6	0
ENSG00000227589.1	0	0	0	0	2	1
ENSG00000235131.1	1	0	0	0	0	0
ENSG00000227372.12	175	29	179	74	59	64
ENSG00000276189.1	0	0	0	0	0	0
ENSG00000162592.9	0	0	0	0	0	0
ENSG00000235169.8	11	1	29	4	5	3
ENSG00000130764.9	574	212	817	231	320	279
ENSG00000266075.2	0	0	0	1	1	0
ENSG00000272153.1	11	3	3	2	5	2
ENSG00000116198.12	423	181	355	196	202	167
ENSG00000169598.15	54	9	77	28	22	17
ENSG00000198912.10	287	111	359	136	119	119
ENSG00000236423.5	4	2	7	0	1	0
ENSG00000233304.6	0	0	0	0	0	0
ENSG00000226374.2	0	0	0	0	0	0
ENSG00000284668.1	0	0	0	0	0	0
ENSG00000284703.1	0	1	0	0	0	0
ENSG00000229280.1	0	0	0	0	0	0
ENSG00000235054.3	0	0	0	0	0	0
ENSG00000284694.1	0	0	0	0	0	0
ENSG00000227169.2	0	0	0	0	0	0
ENSG00000232596.2	0	1	0	0	0	0
ENSG00000196581.10	5	2	11	3	3	6
ENSG00000284739.1	0	0	0	0	1	0
ENSG00000284674.1	0	0	0	0	0	0
ENSG00000231510.1	0	0	0	0	0	0
