NAME	Fetal Mesenchymal Stem Cells	Fetal CD14+ Monocytes	Fetal CD8+ Activated T Cells	Fetal Naive CD4+ T Cells	Fetal Naive CD8+ T Cells	Fetal Natural Killer T Cells	Fetal B Cells	Fetal GZMK+ Natural Killer	Fetal Memory CD4+ T Cells	Fetal Hofbauer Cells	Fetal Plasmacytoid Dendritic Cells	Fetal GZMB+ Natural Killer	Fetal Endothelial Cells	Fetal Syncytiotrophoblast	Fetal Fibroblasts	Fetal Cytotrophoblasts	Fetal Proliferative Cytotrophoblasts	Fetal Nucleated Red Blood Cells	Maternal CD8+ Activated T Cells	Maternal Naive CD4+ T Cells	Maternal FCGR3A+ Monocytes	Maternal CD14+ Monocytes	Maternal Natural Killer Cells	Maternal B Cells	Maternal Plasma Cells	Maternal Naive CD8+ T Cells	Fetal Extravillous Trophoblasts
A1BG	17.03784665604399962	29.87258256222785491	11.17294292317465043	19.57248802376906482	56.34858915846849925	39.61380943174717117	23.58624849550151126	38.26768149253282303	29.76550523100290846	2.35387145497487715	36.91523671175384180	1.00000000000000000	2.33303498450730817	1.00000000000000000	17.10841512967896705	1.70253386438936571	2.51030334410418599	1.00000000000000000	23.39504867860101811	36.00828309983383235	36.91404728539114188	34.79764604693702523	20.97160778516983015	39.18174734995246666	47.58311297803393813	50.94696523749701811	2.60203131706631119
A2M	61.52501983785207784	2.92529493374523009	1.60367954757839781	2.78907556597885664	1.00000000000000000	4.59466551637369225	3.82455797394379182	1.00000000000000000	18.81814142820040203	366.32606493079282473	1.00000000000000000	1.00000000000000000	839.56011231076035983	13.14838778294212318	72.39069048897056291	4.17879078602165599	3.21169796469804769	3.80740368499814874	5.41935355547803521	13.52128618651708614	73.44327012877113248	5.00555701074408788	3.91511320804771623	3.34704411738951002	6.78457246332847941	2.77113092022649443	6.34108015548083959
A2M.AS1	1.83465109634083379	1.00000000000000000	10.93228795494064620	5.56705155781796890	8.78051619857282972	15.77172330476619777	1.00000000000000000	1.00000000000000000	16.55405567748296747	2.15660536857808438	1.00000000000000000	8.55309828091481705	3.58328180465526192	1.00000000000000000	2.87071595121419421	1.74605008387031813	1.31316819877932689	1.00000000000000000	28.01261818964082551	7.31224767721734903	1.55239881224991616	1.73917041426066499	8.95861477221799340	1.65445368823920447	1.00000000000000000	5.81168387649946450	1.00000000000000000
A4GALT	38.26135314020093148	1.00000000000000000	4.31818743540580030	4.55398864145231563	1.00000000000000000	8.08014726706313979	1.00000000000000000	1.56302343585051551	1.00000000000000000	2.29043229869273635	34.62022592791836217	1.00000000000000000	14.11593899685286679	11.51990083202552917	37.68975276193055635	48.79334308273079301	43.90763984310665080	9.98892564360699708	2.05385998345911336	7.26064309325854396	1.98319454481778612	1.00000000000000000	3.67780634104541670	1.15813804470847281	1.00000000000000000	1.00000000000000000	31.22466978874158272
AADACL3	1.26293765697171967	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.09707670020375403	1.02587906325554723	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	22.00698956285796726
ABCA1	15.33274743053186562	52.31338634031023105	1.00000000000000000	4.91955319703967131	3.04963589074874042	3.01930455151245392	16.23427777021463569	11.16518424396438647	2.10777793040496153	53.56057934374078400	3.26644304428629395	1.00000000000000000	31.14962688564747495	1.00000000000000000	7.55876299374451932	36.51212420395660985	14.84037032036388126	1.00000000000000000	3.34860574617585183	8.60561491609885820	27.97571249351137368	43.98165699211402568	1.00000000000000000	8.15950333731715816	4.12494140734862125	1.62830804184028977	18.56017806052942376
ABCA3	1.97398944034050405	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.51848502822632181	5.14507772020721710	1.00000000000000000	2.34775892650234708	1.00000000000000000	1.00000000000000000	23.35561647037398814	8.17401285583100723	4.72705994603218738	1.02819422528133320	1.07732663334886625	1.00000000000000000	1.97337294780991845	1.00000000000000000	1.21328169072661862	1.00000000000000000	4.34275567266226403	1.00000000000000000	3.18981298997065732	1.58211995280171402	1.00000000000000000
ABCA6	5.27153038754389058	1.58567760556253057	2.37383773327763947	1.00000000000000000	4.57220680219618636	9.37368750076276669	1.56102618421406980	1.00000000000000000	1.00000000000000000	28.46124180539008464	1.00000000000000000	1.00000000000000000	1.85231330556942764	1.00000000000000000	4.20449251109409250	1.07538124386468015	1.00000000000000000	1.00000000000000000	1.37050375172098926	1.00000000000000000	1.54483405238090121	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ABCA7	3.78840942367472744	9.28760583282991448	13.50175411607238374	8.61506654588199616	7.78734860345204272	14.89781875561549640	12.42061839183294580	18.59867434237597905	14.93536694052336067	6.04545538470388344	21.92823105852432519	1.00000000000000000	4.74627304550817009	3.08416700013337808	1.59797918912826264	4.77881292447040806	4.85156129162426453	3.80740368499812476	9.62608231102917067	10.68988660925507439	5.53504878169684034	9.78743571587993166	5.59814767703297900	4.19432052320387161	8.99999358058335552	7.73229944526085866	87.93366058785417749
ABCA8	201.37007131847909136	1.00000000000000000	1.84309852196398150	1.00000000000000000	1.00000000000000000	1.00000000000000000	2.11240189417961188	1.00000000000000000	3.93892905425263473	5.12067926285050135	1.00000000000000000	1.00000000000000000	1.33268592652032503	1.00000000000000000	110.94197966563451985	1.34432451462206659	1.04035963665026299	1.00000000000000000	2.09434775848841603	1.00000000000000000	1.97859327217125691	1.29340932243571904	2.48016577856719600	1.59989981673060999	1.00000000000000000	1.00000000000000000	1.18788183195488206
