Mixture	Fetal Mesenchymal Stem Cells	Fetal CD14+ Monocytes	Fetal CD8+ Activated T Cells	Fetal Naive CD4+ T Cells	Fetal Naive CD8+ T Cells	Fetal Natural Killer T Cells	Fetal B Cells	Fetal GZMK+ Natural Killer	Fetal Memory CD4+ T Cells	Fetal Hofbauer Cells	Fetal Plasmacytoid Dendritic Cells	Fetal GZMB+ Natural Killer	Fetal Endothelial Cells	Fetal Syncytiotrophoblast	Fetal Fibroblasts	Fetal Cytotrophoblasts	Fetal Proliferative Cytotrophoblasts	Fetal Nucleated Red Blood Cells	Maternal CD8+ Activated T Cells	Maternal Naive CD4+ T Cells	Maternal FCGR3A+ Monocytes	Maternal CD14+ Monocytes	Maternal Natural Killer Cells	Maternal B Cells	Maternal Plasma Cells	Maternal Naive CD8+ T Cells	Fetal Extravillous Trophoblasts	P-value	Correlation	RMSE
STP0677	0.08659771901705465	0.00000000000000000	0.00924002573861296	0.00000000000000000	0.08334752645970982	0.04379628464108584	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04190195671797860	0.07416466800373601	0.02251139866241453	0.06942807048492902	0.16193742654917859	0.00730620032214808	0.15098175129810681	0.02006046761468661	0.00009329217473576	0.00000000000000000	0.00898533133241539	0.00380381913142653	0.01590230705845592	0.01326800613635993	0.06256118905919798	0.00000000000000000	0.04647323335367124	0.07763932624409578	0.00000000000000000	0.98563968288219395	0.39754190286598234
STP0692	0.08748988778947439	0.00000000000000000	0.00469589962898856	0.00000000000000000	0.09799610837736519	0.02565511125352062	0.00000000000000000	0.00000000000000000	0.03815438685764597	0.04186643688935653	0.04778484210096869	0.01909264444987130	0.07006390608457538	0.15324207180338956	0.03648515459957013	0.17470442180830789	0.00000000000000000	0.00037433071451819	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02526447000007174	0.00854269430611236	0.02668163197990893	0.00000000000000000	0.09306985326454888	0.04883614809180562	0.00000000000000000	0.99382470672089396	0.42002474253663669
STP0761	0.11304797623210479	0.00000000000000000	0.00046384940135489	0.00000000000000000	0.03242482239970682	0.04612634708503516	0.00000000000000000	0.00000000000000000	0.04689084605854554	0.05233654050345347	0.04083101263071044	0.01567851921652818	0.08120088483687117	0.10765768740775822	0.02872124065637519	0.16808455276555823	0.00000000000000000	0.00014421634160621	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03519580058152150	0.00666914702491906	0.01693793368659524	0.00000000000000000	0.17407721121534936	0.03351141195600654	0.00000000000000000	0.98869598338557863	0.59068740675952702
STP0788	0.08276432492820042	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07300791381024206	0.03092248625574742	0.00000000000000000	0.00000000000000000	0.04019350850079245	0.04312410931536175	0.03053358481616727	0.01138840253626898	0.04856895332199415	0.09794276705712916	0.02028942605154363	0.17586844026887083	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03314994534513620	0.01375784373086313	0.03352180677034449	0.00000000000000000	0.11853965842018796	0.14642682887115019	0.00000000000000000	0.98218422214068080	0.61012584625662236
STP0793	0.10548477253128986	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02695840206085508	0.01605753670238354	0.02282754562429052	0.00000000000000000	0.11088506719148965	0.02087488501878286	0.01125736906483716	0.02779308505672961	0.05761869598966915	0.07148882956270088	0.03365149843818614	0.14806751976669630	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00029833905826432	0.01880852562880777	0.03046195430821934	0.02166229968053575	0.00000000000000000	0.19197189029812659	0.08383178401813546	0.00000000000000000	0.94778256049032106	0.72782446946076329
STP0852	0.06695063683985418	0.00100659456255283	0.01584856111739069	0.00000000000000000	0.02456856005959091	0.00000000000000000	0.01342221598723997	0.01309761987436885	0.00946166374570122	0.04402567228469875	0.00000000000000000	0.00260030966236386	0.03934447140314287	0.03242706447823018	0.01110497434165724	0.13660669823029362	0.00000000000000000	0.00126656487130842	0.00000000000000000	0.04108244931535706	0.00000000000000000	0.02048739396291253	0.00000000000000000	0.03194046948831814	0.00000000000000000	0.10135398337984504	0.39340409639517360	0.00000000000000000	0.97366935159961943	0.79548384587040888
STP0867	0.11593700508737147	0.00000000000000000	0.00290690820352178	0.00000000000000000	0.01208373836646555	0.01893569204459804	0.01249520375304020	0.00000000000000000	0.09541587812755231	0.03539784639816829	0.02796669062730594	0.03199662749364043	0.06487934951077352	0.08486839216653905	0.03333293695772956	0.15635379933407895	0.00000000000000000	0.00050287802196253	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.06130541202700019	0.03111808344387213	0.01931712459597937	0.00000000000000000	0.15742847067329993	0.03775796316710076	0.00000000000000000	0.98452139940046424	0.67248757870924769
STP0888	0.09551174721806072	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.06507503563282800	0.04656073909462288	0.00000000000000000	0.00000000000000000	0.01502684613205818	0.05027865782699385	0.06568974998049767	0.02361012136472130	0.06137614968313058	0.11284486427770646	0.01974296235613940	0.15050159171513014	0.00000000000000000	0.00053585856686558	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03249941056968993	0.04270323908314617	0.04022578470432129	0.00000000000000000	0.10692132763789405	0.07089591415619390	0.00000000000000000	0.97181763636810614	0.57825754278964381
STP0903	0.10007788771289274	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04324895870926655	0.06990302309602757	0.00622486243819341	0.00000000000000000	0.01982550755054575	0.04004553326393573	0.07267445427320307	0.01120061498192856	0.06634321081573935	0.10339282606996464	0.01897383214632840	0.13573540640107945	0.00000000000000000	0.00038876637656737	0.00000000000000000	0.00000000000000000	0.00141527869540037	0.04293268252361371	0.03514178442592590	0.00440676401382334	0.00000000000000000	0.13354439824301406	0.09452420826254995	0.00000000000000000	0.99007111207938370	0.59469495970692787
STP0912	0.13951188984922147	0.00000000000000000	0.00951285201333979	0.00000000000000000	0.04664685530889819	0.04161918588442602	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.06292505616047310	0.03823799055864160	0.01220248054679738	0.08735909618748282	0.04503218442502481	0.03543825006049949	0.21193248433458092	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04670439630740208	0.00623677603652900	0.03660605770715856	0.01389886478011088	0.03343118062600164	0.00317547272599777	0.04927372134821899	0.08025520513919528	0.00000000000000000	0.96059524847246980	0.81125278403498979
