ensembl_gene_id,hgnc_symbol,t_F,P.Value_F,adj.P.Val_F,t_M,P.Value_M,adj.P.Val_M
ENSG00000175471,MCTP1,-4.190978780629352,1.0005790944881951e-4,0.9999598556250613,-0.99719644996615,0.32297763131238266,0.6505398052494744
ENSG00000081026,MAGI3,-3.928858010177443,2.3765058661404112e-4,0.9999598556250613,2.8271650111956275,0.006509856238175793,0.1696821180273131
ENSG00000169594,BNC1,-3.5919624146589517,6.944515670061383e-4,0.9999598556250613,-1.7814699453224794,0.08028279499971007,0.38076586656827804
ENSG00000130988,RGN,-3.5363532325093296,8.25064440248687e-4,0.9999598556250613,-0.5701681345196326,0.5708543439427479,0.8168962753544594
ENSG00000133460,SLC2A11,3.4805609080294198,9.79423390679296e-4,0.9999598556250613,-1.6929820990021025,0.09604026245097966,0.4080789209793135
ENSG00000147439,BIN3,3.4692444022399784,0.0010139168752501591,0.9999598556250613,0.3515937467074769,0.726468322664884,0.8916532447095851
ENSG00000253837,NA,-3.314295363301066,0.0016187865072344175,0.9999598556250613,-0.2637896417218884,0.7929146075288641,0.9225403709375012
ENSG00000166426,CRABP1,-3.2259931398471915,0.002102425062959532,0.9999598556250613,0.5211706588116586,0.6043119543413429,0.8326324101213308
ENSG00000161381,PLXDC1,-3.1986677758124005,0.002277771747509656,0.9999598556250613,1.1788962039567399,0.24344629148081975,0.5849759446077899
ENSG00000102452,NALCN,-3.198480424076977,0.0022790201503221424,0.9999598556250613,-1.5276257203031853,0.1322593912586205,0.463461318565607
ENSG00000112249,ASCC3,3.1866648175100014,0.0023590655656242064,0.9999598556250613,-0.2424848265039463,0.8092943409277822,0.9297539525802363
ENSG00000164951,PDP1,-3.1259699293722445,0.0028135938250668266,0.9999598556250613,-0.3346876746620812,0.7391166059428659,0.896946583833682
ENSG00000164418,GRIK2,-3.0799056127972024,0.0032120594056611073,0.9999598556250613,1.5074138701402495,0.13735047268217235,0.47055142034325825
ENSG00000183067,IGSF5,3.0482738316064,0.0035156257136912,0.9999598556250613,-0.7112332792557167,0.47990489640619727,0.7631233392057464
ENSG00000164451,CALHM4,-3.03429778209519,0.003658116524771635,0.9999598556250613,0.9390414138160048,0.3517600839030711,0.6733053790512259
ENSG00000128000,ZNF780B,-3.015679836435213,0.0038563188980036216,0.9999598556250613,0.8982074858381642,0.37293768490491264,0.6909697526160044
ENSG00000197479,PCDHB11,-3.0108543059814323,0.0039093012874293126,0.9999598556250613,-0.2298913312172702,0.819017595556402,0.9337450963213624
ENSG00000115652,UXS1,-2.999450185790273,0.0040372239170193515,0.9999598556250613,0.5022994894737554,0.6174350845645615,0.8406362212052535
ENSG00000100350,FOXRED2,-2.9930911067779213,0.004110239128848561,0.9999598556250613,0.7279764514969054,0.4696744646615991,0.7574042634952303
ENSG00000159905,ZNF221,-2.989935329914018,0.004146929030248112,0.9999598556250613,0.9599967448560638,0.3412018224992357,0.664709365749832
ENSG00000141446,ESCO1,2.9884617469935812,0.00416416560551383,0.9999598556250613,0.1639594393471441,0.8703560270921739,0.9540476594998909
ENSG00000282097,NA,2.981646982675335,0.004244749793826178,0.9999598556250613,-1.7231367766567014,0.09040646055761474,0.4007373067120365
ENSG00000170537,TMC7,-2.960965206453968,0.004498289542820536,0.9999598556250613,-0.6128671657740362,0.5424561841722622,0.8001195143272002
ENSG00000279467,NA,2.944396596441995,0.004711495587891831,0.9999598556250613,-1.4186989937985044,0.16155304688301028,0.5013955801607278
ENSG00000198873,GRK5,2.929492390029319,0.004911272445171214,0.9999598556250613,-2.1992236584981733,0.032026634313335536,0.2752483836201826
ENSG00000169129,AFAP1L2,-2.9282087640791374,0.004928841256221668,0.9999598556250613,1.0893186513016833,0.2806995625484051,0.6168316414644106
ENSG00000258876,NA,-2.9281529157386244,0.0049296069682259695,0.9999598556250613,1.5888204649436202,0.11775639144163695,0.44332491281016756
ENSG00000250131,NA,2.9184599478553146,0.005064189192993671,0.9999598556250613,-0.9981085968758547,0.32253910792435414,0.6499448309006366
ENSG00000158006,PAFAH2,2.906900979773097,0.005229136644240976,0.9999598556250613,-2.0463463049449895,0.04544902444395923,0.3136286354947957
ENSG00000039068,CDH1,-2.9019700720005726,0.005301006446846645,0.9999598556250613,-0.45492435661280917,0.650930215456414,0.8571364979048676
ENSG00000186998,EMID1,-2.8888926726701953,0.005496074931766872,0.9999598556250613,0.12102123256284654,0.9041093332756547,0.9663523291857996
ENSG00000134917,ADAMTS8,-2.88650073067612,0.005532466151146424,0.9999598556250613,1.297814575814091,0.19969493980374528,0.542193408284861
ENSG00000189339,SLC35E2B,-2.8858742092841156,0.005542034940451051,0.9999598556250613,1.2777864661938685,0.20661964551859763,0.549478789468419
ENSG00000154102,C16orf74,2.884498486399623,0.005563100033944152,0.9999598556250613,-0.9063349649182044,0.36865909482528525,0.6881560615866924
ENSG00000003987,MTMR7,2.8771115063241504,0.005677483856356622,0.9999598556250613,-1.7430736972245162,0.08683374841983796,0.39437948710645837
ENSG00000205181,LINC00654,-2.8688106491586516,0.00580861585204797,0.9999598556250613,1.2932780248826918,0.20124799850762853,0.5439173051081962
ENSG00000101096,NFATC2,-2.8668804857472177,0.0058395066064280046,0.9999598556250613,-0.17149166195548451,0.864458117325968,0.9520118842297757
ENSG00000101187,SLCO4A1,2.8537161890126743,0.006054279865317104,0.9999598556250613,-0.4020974789064435,0.6891497090146996,0.8744669738689298
ENSG00000107611,CUBN,-2.808989014770825,0.006839766823788974,0.9999598556250613,-1.8048805400212755,0.0764947858585843,0.37561243186091536
